x,y,height
-60,-32,12
-60,-31,11
-60,-30,10
-60,-29,10
-60,-28,10
-60,-27,10
-60,-26,10
-60,-25,10
-60,-24,9
-60,-23,5
-60,-22,2
-60,-21,2
-60,-20,2
-60,-19,2
-60,-18,2
-60,-17,2
-60,-16,2
-60,-15,2
-60,-14,2
-60,-13,2
-60,-12,2
-60,-11,2
-60,-10,2
-60,-9,2
-60,-8,2
-60,-7,2
-60,-6,2
-60,-5,2
-60,-4,2
-60,-3,2
-60,-2,6
-60,-1,10
-60,0,10
-60,1,10
-60,2,10
-60,3,10
-60,4,10
-60,5,10
-60,6,10
-60,7,10
-60,8,10
-60,9,10
-60,10,10
-60,11,10
-60,12,10
-60,13,10
-60,14,10
-60,15,10
-60,16,12
-60,17,12
-60,18,12
-60,25,12
-60,26,12
-60,27,12
-60,28,11
-60,29,10
-60,30,10
-60,31,10
-60,32,10
-60,33,10
-60,34,10
-60,35,10
-60,36,10
-60,37,10
-60,38,10
-60,39,10
-60,40,10
-60,41,10
-60,42,10
-60,43,10
-60,44,10
-60,45,10
-60,46,10
-60,47,10
-60,48,10
-60,49,10
-60,50,10
-60,51,10
-60,52,10
-60,53,10
-60,54,11
-60,55,12
-59,-33,12
-59,-32,11
-59,-31,10
-59,-30,10
-59,-29,10
-59,-28,10
-59,-27,10
-59,-26,10
-59,-25,10
-59,-24,7
-59,-23,2
-59,-22,2
-59,-21,2
-59,-20,2
-59,-19,2
-59,-18,2
-59,-17,2
-59,-16,2
-59,-15,2
-59,-14,2
-59,-13,2
-59,-12,2
-59,-11,2
-59,-10,2
-59,-9,2
-59,-8,2
-59,-7,2
-59,-6,2
-59,-5,2
-59,-4,2
-59,-3,2
-59,-2,2
-59,-1,5
-59,0,8
-59,1,10
-59,2,10
-59,3,10
-59,4,10
-59,5,10
-59,6,10
-59,7,10
-59,8,10
-59,9,10
-59,10,10
-59,11,10
-59,12,10
-59,13,10
-59,14,10
-59,15,10
-59,16,10
-59,17,10
-59,18,10
-59,19,11
-59,20,11
-59,21,11
-59,22,11
-59,23,11
-59,24,11
-59,25,10
-59,26,10
-59,27,10
-59,28,10
-59,29,10
-59,30,10
-59,31,10
-59,32,10
-59,33,10
-59,34,10
-59,35,10
-59,36,10
-59,37,10
-59,38,10
-59,39,10
-59,40,10
-59,41,10
-59,42,9
-59,43,8
-59,44,8
-59,45,8
-59,46,8
-59,47,8
-59,48,9
-59,49,9
-59,50,10
-59,51,10
-59,52,10
-59,53,10
-59,54,10
-59,55,10
-59,56,11
-59,57,11
-59,58,12
-58,-36,12
-58,-35,11
-58,-34,12
-58,-33,12
-58,-32,11
-58,-31,10
-58,-30,9
-58,-29,10
-58,-28,10
-58,-27,11
